Id,quality
643,6
644,5
645,5
646,6
647,6
648,6
649,5
650,6
651,6
652,6
653,5
654,5
655,6
656,6
657,6
658,5
659,5
660,6
661,6
662,5
663,6
664,6
665,6
666,5
667,5
668,6
669,5
670,5
671,6
672,5
673,6
674,5
675,5
676,5
677,5
678,5
679,6
680,6
681,6
682,5
683,5
684,5
685,5
686,5
687,6
688,6
689,5
690,5
691,5
692,5
693,5
694,5
695,5
696,6
697,5
698,6
699,5
700,6
701,5
702,5
703,5
704,6
705,5
706,6
707,5
708,5
709,6
710,5
711,5
712,6
713,5
714,5
715,5
716,6
717,6
718,6
719,5
720,5
721,6
722,6
723,6
724,5
725,5
726,5
727,5
728,5
729,5
730,5
731,5
732,6
733,5
734,6
735,5
736,5
737,5
738,5
739,5
740,6
741,5
742,6
743,5
744,5
745,6
746,6
747,5
748,5
749,6
750,5
751,5
752,5
753,5
754,5
755,6
756,6
757,5
758,5
759,5
760,5
761,5
762,5
763,6
764,5
765,6
766,5
767,5
768,5
769,6
770,6
771,5
772,5
773,5
774,6
775,5
776,5
777,6
778,5
779,6
780,6
781,5
782,5
783,6
784,5
785,5
786,5
787,6
788,5
789,6
790,5
791,5
792,6
793,6
794,6
795,5
796,5
797,5
798,5
799,5
800,5
801,5
802,5
803,5
804,6
805,5
806,6
807,6
808,5
809,6
810,5
811,5
812,5
813,6
814,5
815,5
816,6
817,6
818,5
819,5
820,5
821,5
822,6
823,6
824,6
825,6
826,6
827,5
828,6
829,6
830,5
831,5
832,6
833,6
834,6
835,5
836,5
837,5
838,6
839,5
840,5
841,5
842,5
843,5
844,6
845,5
846,5
847,6
848,6
849,5
850,5
851,6
852,6
853,5
854,5
855,6
856,6
857,5
858,5
859,5
860,5
861,6
862,6
863,6
864,5
865,6
866,5
867,6
868,6
869,6
870,5
871,6
872,5
873,6
874,5
875,5
876,5
877,5
878,6
879,6
880,5
881,6
882,5
883,6
884,6
885,5
886,5
887,6
888,6
889,6
890,5
891,6
892,6
893,6
894,5
895,6
896,6
897,5
898,6
899,6
900,6
901,6
902,5
903,5
904,5
905,6
906,5
907,5
908,5
909,5
910,6
911,5
912,5
913,5
914,5
915,5
916,5
917,5
918,5
919,6
920,6
921,5
922,5
923,5
924,5
925,5
926,5
927,5
928,6
929,5
930,5
931,5
932,5
933,5
934,5
935,6
936,5
937,5
938,5
939,5
940,5
941,5
942,5
943,5
944,5
945,6
946,5
947,5
948,5
949,5
950,6
951,5
952,5
953,6
954,5
955,5
956,5
957,5
958,6
959,6
960,5
961,6
962,5
963,5
964,6
965,5
966,5
967,6
968,5
969,5
970,6
971,6
972,5
973,5
974,5
975,5
976,5
977,5
978,6
979,5
